Date,County,Active Dem,Active Rep,Active Uaf,Total Active,Inactive Dem,Inactive Rep,Inactive Uaf,Total Inactive,Grand Total,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change
2012-12-28,Adams,69298,49697,62542,181537,24677,16092,37590,78359,259896,2012,dec,DEM,-0.01958065702724876,-0.015647592449541503,-0.060253636254357534,-0.03294250510065466,0.08541895755443152,0.06682577565632464,0.14512886126850666,0.10919385660697856,0.005921831819976298
2012-12-28,Delta,3203,8361,4727,16291,922,1699,2075,4696,20987,2012,dec,REP,0.004075235109717967,0.005411255411255311,0.01918930573523081,0.009105550049554045,-0.04257528556593981,-0.03902714932126694,-0.02764761012183692,-0.03473792394655706,-0.001047170260364605
2012-12-28,Custer,452,1709,618,2779,127,332,267,726,3505,2012,dec,REP,0.018018018018018056,0.00707130229817321,0.02657807308970095,0.013124316441851969,-0.07971014492753625,-0.11936339522546424,-0.08247422680412375,-0.09925558312655092,-0.012397858551704721
2012-12-28,Hinsdale,95,397,133,625,20,69,29,118,743,2012,dec,Swing,-0.07766990291262132,-0.04796163069544368,-0.08904109589041098,-0.06156156156156156,0.8181818181818181,0.4375,0.8125,0.5733333333333333,0.0026990553306343035
2012-12-28,Gunnison,2752,2483,3679,8914,1057,1049,2470,4576,13490,2012,dec,DEM,0.00291545189504383,-0.01663366336633665,-0.016047071409467817,-0.010435168738898715,-0.002830188679245338,0.03349753694581281,0.03563941299790363,0.026008968609865457,0.0016335016335016217
2012-12-28,Grand,1979,3801,2612,8392,805,1149,1810,3764,12156,2012,dec,Swing,0.01905252317198758,-0.0023622047244094,0.032003160806005626,0.01315948327900518,-0.02777777777777779,-0.015424164524421635,-0.014161220043573008,-0.0174889062907857,0.0034670629024269317
2012-12-28,Gilpin,1144,932,1331,3407,437,377,861,1675,5082,2012,dec,DEM,-0.0017452006980802626,0.0032292787944026013,0.006807866868381307,0.0029437739181630285,-0.0022831050228310223,-0.00527704485488123,-0.010344827586206917,-0.007113218731475968,-0.0003933910306844757
2012-12-28,Garfield,6447,8989,9629,25065,2096,2653,5712,10461,35526,2012,dec,Swing,0.005615348619560034,0.007848413499271123,0.018510683308652354,0.01133795997417697,-0.011786892975011787,-0.017407407407407427,-0.013641858055603473,-0.014229174519411969,0.0036727313820770213
2012-12-28,Huerfano,1899,992,881,3772,522,305,462,1289,5061,2012,dec,DEM,0.0031695721077653616,-0.001007049345417954,0.012643678160919603,0.004259850905218299,-0.016949152542372836,-0.009740259740259716,-0.012820512820512775,-0.01377199693955622,-0.00039502271380609244
2012-12-28,Elbert,2033,8258,4145,14436,641,1911,1903,4455,18891,2012,dec,REP,0.004943153732080985,0.005479118470717248,0.01344743276283622,0.007678347061287116,-0.010802469135802517,-0.010869565217391353,-0.015010351966873725,-0.012632978723404298,0.0028134621509714464
2012-12-28,El Paso,66772,139086,93903,299761,27523,36494,59660,123677,423438,2012,dec,Swing,-0.03893374785900372,-0.02096238315125576,-0.0921193839371175,-0.04829318161614371,0.09274625799023295,0.028956494769786012,0.1739703654145104,0.10947942551111023,-0.007051319630901998
2012-12-28,Eagle,6913,6800,9743,23456,2467,2288,5453,10208,33664,2012,dec,DEM,0.013785012465170832,0.010101010101010166,0.02406979188564229,0.016952091914155698,-0.020643112346169112,-0.01718213058419249,-0.02555396711937097,-0.02250311213252898,0.0046556046317296484
2012-12-28,Douglas,34838,83142,51915,169895,8386,17065,18729,44180,214075,2012,dec,Swing,-0.028608074949810436,-0.025424622850511613,-0.07170317389360747,-0.04068322981366457,0.12760521715745599,0.13865349969973972,0.2772094926350246,0.19122088006902493,-0.0005275739070349506
2012-12-28,Dolores,374,569,324,1267,82,132,188,402,1669,2012,dec,REP,0.002680965147453085,-0.0017543859649122862,0.02208201892744488,0.005555555555555536,0.0,0.0,-0.015706806282722474,-0.007407407407407418,0.002402402402402304
2012-12-28,Denver,161374,52287,102454,316115,67267,26917,74423,168607,484722,2012,dec,DEM,-0.04639948944015693,-0.04665791488896187,-0.09138960083008896,-0.06150265266558008,0.12822448089631333,0.10198149512814214,0.16940071022280878,0.14162773376667337,0.0004148427003163313
2012-12-28,Fremont,4757,10077,6116,20950,2444,3916,5126,11486,32436,2012,dec,REP,0.00741211351122395,0.008204102051025508,0.02600234859922823,0.013154076796595415,-0.014118596208148482,-0.018546365914786977,-0.01857170208692327,-0.01761888470749229,0.0020389249304912926
2013-01-28,Otero,3023,3402,2069,8494,1320,987,1714,4021,12515,2013,jan,Swing,0.0,-0.0014675667742882759,0.011241446725317683,0.002123643227937677,-0.007518796992481258,-0.007042253521126751,-0.002908667830133771,-0.0054415038337868316,-0.00031951433820587294
2013-01-28,Morgan,2598,5231,3387,11216,858,1210,1990,4058,15274,2013,jan,REP,0.005417956656346812,0.0028757668711656414,0.016811768237766422,0.007636330967567995,-0.008092485549133,-0.011437908496731986,-0.011916583912611745,-0.010967584694126287,0.002625705658395594
2013-01-28,Montrose,3985,10227,6546,20758,813,1561,2628,5002,25760,2013,jan,REP,0.0063131313131312705,0.001370801919122755,0.017723880597015018,0.007425382188789076,-0.2837004405286344,-0.30898627711376714,-0.23067915690866514,-0.2654919236417034,-0.06036841145358385
2013-01-28,Montezuma,2978,6442,3393,12813,1626,2236,2855,6717,19530,2013,jan,Swing,0.004723346828610087,0.002177971375233456,0.01253357206803929,0.005493211959507249,-0.004895960832313362,-0.00622222222222224,-0.007991660875608098,-0.006654835847382468,0.0012817226352217492
2013-01-28,Moffat,837,3799,1720,6356,498,1142,1466,3106,9462,2013,jan,REP,0.004801920768307433,0.0,0.012956419316843437,0.004107424960505535,-0.04230769230769227,-0.028085106382978675,-0.020708082832331276,-0.026942355889724268,-0.006301197227473243
2013-01-28,Logan,1865,5086,2520,9471,492,913,1409,2814,12285,2013,jan,REP,0.004308023694130414,0.0029579964504042877,0.010425020048115519,0.005200594353640398,-0.08379888268156421,-0.06358974358974356,-0.039536468984321727,-0.05538771399798592,-0.009354084348036418
2013-01-28,Mesa,15484,35443,23893,74820,5911,10704,15278,31893,106713,2013,jan,REP,0.0,0.001356123746291793,0.0068265138426530925,0.0028146361077603377,-0.03760989905568224,-0.03445787479704132,-0.025078169867908895,-0.030578437034560313,-0.007404031290403568
2013-01-28,Lincoln,400,1407,537,2344,185,373,366,924,3268,2013,jan,REP,0.020408163265306145,0.004999999999999893,0.01512287334593565,0.009909521757863082,-0.056122448979591844,-0.026109660574412552,-0.02659574468085102,-0.032460732984293195,-0.0024420024420024333
2013-01-28,Las Animas,3796,1873,1444,7113,1211,709,1026,2946,10059,2013,jan,Swing,0.004232804232804144,0.005367686527106841,0.015471167369901506,0.006794055201698512,-0.11927272727272731,-0.10592686002522067,-0.10627177700348434,-0.11158021712907118,-0.03101820633850305
