Date,County,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change,pres_2016_sim_label
2016-11-28,Logan,2016,nov,REP,-0.0010672358591248263,0.010249402118209794,-0.022050716648291058,-0.0019373018668544797,0.0,0.0031104199066873672,0.12242562929061784,0.059368191721132835,0.006594906003638545,Donald Trump
2016-12-28,Logan,2016,dec,REP,-0.004807692307692291,0.000507270882651234,0.007891770011273945,0.0019410622904534325,-0.28526645768025083,-0.33798449612403103,-0.20897043832823647,-0.26426735218509,-0.03705098275472552,Donald Trump
2017-01-28,Logan,2017,jan,REP,-0.006441223832528209,-0.0013520365049856098,0.005872483221476489,8.805917576615306e-05,-0.008771929824561429,0.0,-0.0038659793814432852,-0.0034940600978337066,-0.00031281770548208243,Donald Trump
2017-02-28,Logan,2017,feb,REP,-0.004862236628849326,0.0016923337282110928,0.0044481512371421505,0.001496874174517826,-0.008849557522123908,-0.0023419203747072626,-0.003880983182406261,-0.0042075736325385416,0.0008605178753031684,Donald Trump
2017-03-28,Logan,2017,mar,REP,-0.0032573289902280145,0.0006757898293630049,0.00442845280929971,0.0012308774397749025,-0.008928571428571397,-0.00469483568075113,-0.00649350649350644,-0.006338028169014076,0.00039080819133974215,Donald Trump
2017-04-28,Logan,2017,apr,REP,-0.0038126361655773655,0.0013506668917777633,-0.0005511160099200829,-8.781173164740251e-05,0.004504504504504458,-0.007075471698113178,0.0,-0.0014174344436569395,-0.00023439331197749882,Donald Trump
2017-05-28,Logan,2017,may,REP,-0.0027337342810278553,0.0005058168942841945,0.0022056796250344846,0.0005269166593484531,0.004484304932735439,-0.0023752969121140217,-0.002614379084967311,-0.0014194464158977516,0.0003125976867770497,Donald Trump
2017-06-28,Logan,2017,june,REP,-0.0010964912280702066,0.0011796427367711804,0.0055020632737277095,0.0021943298516633463,0.008928571428571397,0.0,-0.006553079947575369,-0.002132196162046962,0.0017187499999999911,Donald Trump
2017-07-28,Logan,2017,july,REP,-0.007683863885839749,-0.004881333108904261,0.001367989056087593,-0.003328078472587093,0.01327433628318575,0.0023809523809523725,-0.00527704485488123,0.0,-0.002963656215878907,Donald Trump
2017-08-28,Logan,2017,aug,REP,-0.0011061946902655162,-0.0001691474966170059,0.0010928961748633004,8.787346221450498e-05,0.0,0.0,-0.002652519893899252,-0.0014245014245014564,-7.822277847313597e-05,Donald Trump
2017-09-28,Logan,2017,sept,REP,0.0016611295681063787,-0.0018609372356622746,0.007914847161571979,0.0018451805640979926,-0.004366812227074246,0.009501187648456087,0.0,0.0021398002853068032,0.0018774935461158824,Donald Trump
2017-10-28,Logan,2017,oct,REP,-0.0016583747927031436,0.0003389830508475633,0.004061738424045558,0.0012278547623223446,0.0,0.002352941176470669,-0.002659574468085069,-0.000711743772242035,0.0010150698836572936,Donald Trump
2016-11-28,Mesa,2016,nov,REP,0.007859869750729942,0.020121272119787204,0.009083098072910191,0.013754749187820048,0.0053682628301481294,-0.022534901615917317,0.016940133037693927,0.0004394901913780114,0.010877635236631766,Donald Trump
2016-12-28,Mesa,2016,dec,REP,-0.0030637254901960675,0.00021835120578383996,0.005656246198759264,0.0015208464596867532,-0.00747543784707394,-0.008547008547008517,-0.008459794174079938,-0.008306709265175738,-0.0005807300117853798,Donald Trump
2017-01-28,Mesa,2017,jan,REP,-0.0011175057272168054,-0.0009217260533145313,0.004354399758088823,0.0009328155845282904,-0.12567247686679586,-0.1536978221415608,-0.10950831207669977,-0.12822164948453607,-0.026472749645377932,Donald Trump
2017-02-28,Mesa,2017,feb,REP,0.002181574089612281,0.001505256257738674,0.003914012163545477,0.002503250975292693,0.0004922471080481827,0.0022785149443773638,-0.0004938759383642521,0.0006467110125647492,0.0021504810055472667,Donald Trump
2017-03-28,Mesa,2017,mar,REP,0.00011163206072795083,0.0013090591743230018,0.0059680902111325365,0.0027564289652042273,-0.007872078720787212,-0.007087456539181636,-0.0071153276015416544,-0.0072477148924383625,0.0008583465442792981,Donald Trump
2017-04-28,Mesa,2017,apr,REP,-0.0001674294006027699,-0.00014526086430211027,0.0061711832573114744,0.002134402690640913,-0.003719315645921095,0.0021548821548822428,0.00029859659599873467,0.00018600325505691015,0.0017677275949279372,Donald Trump
2017-05-28,Mesa,2017,may,REP,-0.0026793190064191568,-0.0033172716046393487,0.00198518518518509,-0.0012693085495460998,0.010204081632652963,0.014111006585136419,0.009751243781094487,0.01134408852108426,0.0011006962340465165,Donald Trump
2017-06-28,Mesa,2017,june,REP,-0.00016790731516203028,0.0005830620475195669,0.00857556850104979,0.003349632725157869,-0.0009854644000985011,-0.001325205406838115,-0.0030547891210090943,-0.002068680182043869,0.002321137182697885,Donald Trump
2017-07-28,Mesa,2017,july,REP,-0.0015673981191222095,2.4280095177964256e-05,0.006714164247808353,0.0021683824081926146,-0.002712700369913668,0.001326963906581824,0.000790748245527384,0.00032246176524775017,0.0018195272711443169,Donald Trump
2017-08-28,Mesa,2017,aug,REP,0.002466920834267805,0.0002427950566925574,0.00981477166821998,0.004188133977441888,-0.003956478733926794,0.0013252054068380035,-0.003259259259259295,-0.0017959935528436555,0.003058901228774502,Donald Trump
2017-09-28,Mesa,2017,sept,REP,-0.0008389261744966571,-4.8547224312467385e-05,0.006546880858304682,0.0022400000000000198,-0.005461767626613656,-0.0068819481206987545,-0.0063416567578279395,-0.006366488281970839,0.000623776272243637,Donald Trump
2017-10-28,Mesa,2017,oct,REP,0.003302546879373036,0.002063357203544225,0.009455587392550148,0.005044699872286174,-0.0027458811782326014,-0.003198294243070388,-0.004487435181491861,-0.003714365307827983,0.0034113144816361185,Donald Trump
2016-11-28,Mineral,2016,nov,Swing,0.0037735849056603774,-0.01834862385321101,0.0,-0.006802721088435382,0.032258064516129004,0.18181818181818188,0.1212121212121211,0.11340206185567014,0.007211538461538547,Donald Trump
2016-12-28,Mineral,2016,dec,Swing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Donald Trump
2017-01-28,Mineral,2017,jan,Swing,0.003759398496240518,-0.0031152647975077885,0.013986013986013957,0.00273972602739736,-0.5,-0.33333333333333337,-0.32432432432432434,-0.3796296296296297,-0.046539379474940364,Donald Trump
2017-02-28,Mineral,2017,feb,Swing,-0.0037453183520599342,-0.0031250000000000444,0.006896551724137946,-0.001366120218579181,0.0,0.0,0.0,0.0,-0.0012515644555695091,Donald Trump
2017-03-28,Mineral,2017,mar,Swing,0.0,-0.006269592476489061,0.02054794520547953,0.001367989056087593,0.0,0.0,0.0,0.0,0.0012531328320801727,Donald Trump
2017-04-28,Mineral,2017,apr,Swing,-0.011278195488721776,0.0,0.0067114093959732566,-0.002732240437158473,0.0,0.0,0.0,0.0,-0.0025031289111389077,Donald Trump
